x,y
0,1
0.04081632653061224,1.0016659725114536
0.08163265306122448,1.0066638900458142
0.12244897959183673,1.0149937526030821
0.16326530612244897,1.026655560183257
0.2040816326530612,1.041649312786339
0.24489795918367344,1.0599750104123282
0.2857142857142857,1.0816326530612246
0.32653061224489793,1.106622240733028
0.36734693877551017,1.1349437734277386
0.4081632653061224,1.1665972511453562
0.44897959183673464,1.201582673885881
0.48979591836734687,1.239900041649313
0.5306122448979591,1.281549354435652
0.5714285714285714,1.326530612244898
0.6122448979591837,1.3748438150770514
0.653061224489796,1.4264889629321118
0.6938775510204083,1.4814660558100794
0.7346938775510206,1.539775093710954
0.7755102040816328,1.6014160766347358
0.8163265306122451,1.6663890045814247
0.8571428571428574,1.7346938775510208
0.8979591836734697,1.8063306955435239
0.938775510204082,1.8812994585589342
0.9795918367346943,1.9596001665972516
1.0204081632653066,2.041232819658476
1.0612244897959189,2.126197417742608
1.1020408163265312,2.2144939608496466
1.1428571428571435,2.3061224489795924
1.1836734693877558,2.4010828821324455
1.224489795918368,2.499375260308206
1.2653061224489803,2.600999583506873
1.3061224489795926,2.705955851728447
1.346938775510205,2.814244064972929
1.3877551020408172,2.9258642232403176
1.4285714285714295,3.040816326530613
1.4693877551020418,3.159100374843816
1.510204081632654,3.280716368179926
1.5510204081632664,3.4056643065389434
1.5918367346938787,3.5339441899208675
1.632653061224491,3.6655560183256988
1.6734693877551032,3.8004997917534373
1.7142857142857155,3.938775510204083
1.7551020408163278,4.080383173677636
1.79591836734694,4.225322782174096
1.8367346938775524,4.373594335693463
1.8775510204081647,4.525197834235737
1.918367346938777,4.680133277800918
1.9591836734693893,4.838400666389006
2.0000000000000013,5.000000000000002
